X,Y,Name,Type,Identifier,Descriptio,Status,Sensor typ,Transmissi,River Syst,Easting/x/,Northing/y,Spatial Re,Elevation,Represente,Distance t,Country,Contact Pe,Year of Es,Year of Cl,Metadata C,Metadata D,MID,field_22,icon_url
13.417,-12.583,Benguela,climate station (WMO),WMO/DATSAV3:663100,,working,,,,"13.417","-12.583",WGS 84 (lat/long),"36",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/04/1949,,"Butchart-Kuhlmann, Daniel",22/07/2011,"225",,./0.png
12.183,-5.55,Cabinda,climate station (WMO),WMO/DATSAV3:661040,,working,,,,"12.183","-5.55",WGS 84 (lat/long),"20",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/08/1948,,"Butchart-Kuhlmann, Daniel",22/07/2011,"227",,./0.png
15.75,-12.8,Huambo,climate station (WMO),WMO/DATSAV3:663180,,working,,,,"15.75","-12.8",WGS 84 (lat/long),"1703",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/02/1955,,"Butchart-Kuhlmann, Daniel",22/07/2011,"229",,./0.png
13.25,-8.85,Luanda,climate station (WMO),WMO/DATSAV3:661600,,working,,,,"13.25","-8.85",WGS 84 (lat/long),"74",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1952,,"Butchart-Kuhlmann, Daniel",22/07/2011,"234",,./0.png
20.817,-7.4,Lunda Norte (Dundo),climate station (WMO),WMO/DATSAV3:661520,,closed,,,,"20.817","-7.4",WGS 84 (lat/long),"776",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/06/1951,24/01/2008,"Butchart-Kuhlmann, Daniel",22/07/2011,"235",,./0.png
20.4,-9.65,Lunda Sul (Saurimo) (Henrique D),climate station (WMO),WMO/DATSAV3:662260,,closed,,,,"20.4","-9.65",WGS 84 (lat/long),"1092",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1955,,"Butchart-Kuhlmann, Daniel",22/07/2011,"236",,./0.png
16.367,-9.55,Malange,climate station (WMO),WMO/DATSAV3:662150,,working,,,,"16.367","-9.55",WGS 84 (lat/long),"1142",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1951,,"Butchart-Kuhlmann, Daniel",22/07/2011,"237",,./0.png
12.15,-15.267,Namibe,climate station (WMO),WMO/DATSAV3:661361,,closed,,,,"12.15","-15.267",WGS 84 (lat/long),"66",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1948,,"Butchart-Kuhlmann, Daniel",22/07/2011,"239",,./0.png
16.695144,-11.48721,Andulo,precipitation,,,working,,,,"16.695144","-11.48721",WGS 84 (lat/long),"1502",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",12/09/2011,"320",,./0.png
16.283333,-14.483333,Vila Artur de Paiva,"gauging station (river), precipitation","637520",,out of order,,,Cubango,"16.283333","-14.483333",WGS 84 (lat/long),"1420","7320",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",12/09/2011,"326",,./0.png
11.717,-16.6,Baia dos Tigres,precipitation,WMO/DATSAV3:664500,,closed,,,,"11.717","-16.6",WGS 84 (lat/long),"1",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,18/07/2005,"Butchart-Kuhlmann, Daniel",13/09/2011,"330",,./0.png
19.33,-10.8,Cacolo,precipitation,,,working,,,,"19.33","-10.8",WGS 84 (lat/long),"1422",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"337",,./0.png
15.8,-13.23,Caconda,precipitation,,,working,,,,"15.8","-13.23",WGS 84 (lat/long),"1676",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"339",,./0.png
15.3,-16.32,Cafu,precipitation,,,working,,,,"15.3","-16.32",WGS 84 (lat/long),"1112",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"341",,./0.png
19.87,-13.68,Cangamba,precipitation,,,working,,,,"19.87","-13.68",WGS 84 (lat/long),"1135",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"343",,./0.png
13.5,-13,Cassequel,precipitation,,,working,,,,"13.5","-13",WGS 84 (lat/long),"746",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"347",,./0.png
13.75,-13.2,Catengue,precipitation,,,working,,,,"13.75","-13.2",WGS 84 (lat/long),"688",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"349",,./0.png
16.9,-12.37,Ceilunga,precipitation,,,working,,,,"16.9","-12.37",WGS 84 (lat/long),"1702",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"351",,./0.png
15.117,-11.417,Cela / Waku Kungu,climate station (WMO),WMO/DATSAV3:662700,,closed,,,,"15.117","-11.417",WGS 84 (lat/long),"1304",,,Angola,IWR - Rhodes University and Water Research Comission,01/11/1959,04/11/2002,"Butchart-Kuhlmann, Daniel",13/09/2011,"353",,./0.png
15,-13,Chenga,precipitation,,,working,,,,"15","-13",WGS 84 (lat/long),"1884",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"359",,./0.png
15.83,-12.73,Chianga,precipitation,,,working,,,,"15.83","-12.73",WGS 84 (lat/long),"1656",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"361",,./0.png
14.1,-15.67,Chibemba,precipitation,,,working,,,,"14.1","-15.67",WGS 84 (lat/long),"1293",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"363",,./0.png
16.0,-11.17,Chiengue,precipitation,,,working,,,,"16","-11.17",WGS 84 (lat/long),"1605",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"365",,./0.png
16.33,-12.55,Chingar,precipitation,,,working,,,,"16.33","-12.55",WGS 84 (lat/long),"1813",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"367",,./0.png
16.75,-13.52,Chitembo,precipitation,,,working,,,,"16.75","-13.52",WGS 84 (lat/long),"1613",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"369",,./0.png
18.7,-12.15,Coemba,precipitation,,,working,,,,"18.7","-12.15",WGS 84 (lat/long),"1419",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"371",,./0.png
18.58,-17.59986,Cuangar,precipitation,"637502",,working,,,,"18.58","-17.59986",WGS 84 (lat/long),"1146",,,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",13/09/2011,"373",,./0.png
14.33,-13,Cubal,precipitation,,,working,,,,"14.33","-13",WGS 84 (lat/long),"1039",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"375",,./0.png
15.57,-13.33,Cuima,precipitation,,,working,,,,"15.57","-13.33",WGS 84 (lat/long),"1661",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"377",,./0.png
21.4,-14.8,Gago Coutinho,precipitation,,,working,,,,"21.4","-14.8",WGS 84 (lat/long),"1087",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"411",,./0.png
14.62,-12.95,Ganda,precipitation,,,working,,,,"14.62","-12.95",WGS 84 (lat/long),"1427",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"413",,./0.png
17.67,-12,General Machado,precipitation,,,closed,,,,"17.67","-12",WGS 84 (lat/long),"1287",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,30/01/2007,"Butchart-Kuhlmann, Daniel",13/09/2011,"417",,./0.png
13.53,-12.37,Lobito,precipitation,WMO/DATSAV3:663050,,closed,,,,"13.53","-12.37",WGS 84 (lat/long),"15",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,14/01/1975,"Butchart-Kuhlmann, Daniel",14/09/2011,"469",,./0.png
19.92,-11.78,Luso,precipitation,,,working,,,,"19.92","-11.78",WGS 84 (lat/long),"1330",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",14/09/2011,"471",,./0.png
20.37,-15.82,Mavinga,climate station (WMO),WMO/DATSAV3:664470,,working,,,,"20.37","-15.82",WGS 84 (lat/long),"1188",,,Angola,IWR - Rhodes University and Water Research Comission,02/07/1957,04/10/1975,"Butchart-Kuhlmann, Daniel",14/09/2011,"485",,./0.png
12.15,-15.2,Mocamedes,precipitation,WMO/DATSAV3:664220,,working,,,,"12.15","-15.2",WGS 84 (lat/long),"13",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,,"Butchart-Kuhlmann, Daniel",14/09/2011,"489",,./0.png
15.88,-16.12,Mupa,precipitation,,,working,,,,"15.88","-16.12",WGS 84 (lat/long),"1234",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",14/09/2011,"499",,./0.png
15.73,-12.77,Nova Chaves,precipitation,,,working,,,,"15.73","-12.77",WGS 84 (lat/long),"1637",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",14/09/2011,"520",,./0.png
14.42,-11.43,Nova Lisboa,precipitation,,,working,,,,"14.42","-11.43",WGS 84 (lat/long),"931",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",14/09/2011,"522",,./0.png
13.83,-11.17,Novo Redondo,precipitation,,,working,,,,"13.83","-11.17",WGS 84 (lat/long),,,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",14/09/2011,"524",,./0.png
15.73,-17.7,Pereira de Eca,climate station (WMO),WMO/DATSAV3:664600,,working,,,,"15.73","-17.7",WGS 84 (lat/long),"1088",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,,"Butchart-Kuhlmann, Daniel",15/09/2011,"570",,./0.png
11.83,-15.83,Porto Alexandre,precipitation,,,working,,,,"11.83","-15.83",WGS 84 (lat/long),"10",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"572",,./0.png
13.75,-10.73,Porto Amboim,precipitation,WMO/DATSAV3:662400,,working,,,,"13.75","-10.73",WGS 84 (lat/long),"1",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,,"Butchart-Kuhlmann, Daniel",15/09/2011,"574",,./0.png
14.82,-10.68,Quibala,precipitation,,,working,,,,"14.82","-10.68",WGS 84 (lat/long),"1323",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"576",,./0.png
14.0,-15.4,Quihita,precipitation,,,working,,,,"14","-15.4",WGS 84 (lat/long),"1371",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"578",,./0.png
14.1,-14.8,Quilengue,precipitation,,,working,,,,"14.1","-14.8",WGS 84 (lat/long),"1534",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"580",,./0.png
15.5,-12.33,Rio Chipia,precipitation,,,working,,,,"15.5","-12.33",WGS 84 (lat/long),"1607",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"590",,./0.png
13.57,-14.93,Sa da Bandeira,climate station (WMO),WMO/DATSAV3:663900,,working,,,,"13.57","-14.93",WGS 84 (lat/long),"1750",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,,"Butchart-Kuhlmann, Daniel",15/09/2011,"596",,./0.png
17.7,-14.67,Serpa Pinto,"climate station , gauging station (river), precipitation","63751802",,,,,Cubango,"17.7","-14.67",WGS 84 (lat/long),"1340",,,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",15/09/2011,"604",,./0.png
16.95,-12.383,Silva Porta (Bie),climate station (WMO),WMO/DATSAV3:663250,,working,,,,"16.95","-12.383",WGS 84 (lat/long),"160.3",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,,"Butchart-Kuhlmann, Daniel",15/09/2011,"608",,./0.png
22.22,-10.72,Teixeira de Sousa,precipitation,,,working,,,,"22.22","-10.72",WGS 84 (lat/long),"1108",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"616",,./0.png
13.25,-14.83,Vila Arriaga,precipitation,,,working,,,,"13.25","-14.83",WGS 84 (lat/long),"780",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"628",,./0.png
17.46151,-15.69893,Caiundo,gauging station (river),"637501",,out of order,,,Cubango,"17.46151","-15.69893",WGS 84 (lat/long),,"38420",,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"645","Caiundu_upload.jpg,",./0.png
16.37027,-13.05155,Chinhama,gauging station (river),"637508",,out of order,,,Cubango,"16.37027","-13.05155",WGS 84 (lat/long),"1540","1597",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",15/09/2011,"647",,./0.png
19.19382,-15.17044,Cuanavale,gauging station (river),"637507",,out of order,,,Cuito,"19.19382","-15.17044",WGS 84 (lat/long),"1180","26093",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",15/09/2011,"649","Cuito_Cuanavale2.jpg,",./0.png
16.89753,-14.6708,Cuchi,gauging station (river),"637506",,out of order,,,Cuchi,"16.89753","-14.6708",WGS 84 (lat/long),"1380","9205",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",15/09/2011,"651","Cuchi_Upload.jpg,",./0.png
17.36666667,-14.68333333,Cuelei,gauging station (river),,,out of order,,,,"17.36666667","-14.68333333",WGS 84 (lat/long),,"5466",,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"653",,./0.png
16.48807,-14.37548,Cutato,gauging station (river),"637505",,out of order,,,Cutato,"16.48807","-14.37548",WGS 84 (lat/long),"1490","3692",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",15/09/2011,"657",,./0.png
18.15292,-17.04088,Foz do Cuatir,gauging station (river),"637511",,out of order,,,Cubango,"18.15292","-17.04088",WGS 84 (lat/long),"1120","69497",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",15/09/2011,"659",,./0.png
18.466666666667,-14.7,Longa,gauging station (river),,,out of order,,,Longa,"18.466666666667","-14.7",WGS 84 (lat/long),,,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"661",,./0.png
17.68282,-16.21661,Mucundi,gauging station (river),"637512",,out of order,,,Cubango,"17.68282","-16.21661",WGS 84 (lat/long),"1120","50385",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",15/09/2011,"668",,./0.png
18.66666667,-14.68333333,Quiriri,gauging station (river),,,out of order,,,Quiriri,"18.66666667","-14.68333333",WGS 84 (lat/long),,,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",15/09/2011,"674",,./0.png
18.2296,-16.6934,Nhundo,gauging station (river),"1242",,out of order,,,Cuatir,"18.2296","-16.6934",WGS 84 (lat/long),,"10019",,Angola,DFO - Dartmouth Flood Observatory,,,"Butchart-Kuhlmann, Daniel",26/09/2011,"701",,./0.png
20.7899,-18.0196,Dirico (DFO),gauging station (river),"288",,out of order,,,Okavango,"20.7899","-18.0196",WGS 84 (lat/long),,"233078",,Angola,DFO - Dartmouth Flood Observatory,,,"Butchart-Kuhlmann, Daniel",26/09/2011,"704",,./0.png
19.917,-11.783,Luena (Luso),climate station (WMO),WMO/DATSAV3:662850,,working,,,,"19.917","-11.783",WGS 84 (lat/long),"1329",,,Angola,WMO - World Meterological Organisation,04/01/1955,,"Butchart-Kuhlmann, Daniel",27/10/2011,"746",,./0.png
17.28,-15.42,Cubango Caiundo,gauging station (river),,,working,,,Cubango,"17.28","-15.42",WGS 84 (lat/long),"1130","38210",,Angola,,,,"Butchart-Kuhlmann, Daniel",02/03/2012,"830",,./0.png
17.5674,-15.55257,Capico,gauging station (river),"637503",,working,,,CuÃ¨be,"17.5674","-15.55257",WGS 84 (lat/long),"1160","10088",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",02/03/2012,"832","Capico_upload.jpg,",./0.png
17.42,-14.4,Cubango Cuebe Menongue,gauging station (river),,,working,,,Cubango,"17.42","-14.4",WGS 84 (lat/long),"1335","4548",,Angola,,,,"Butchart-Kuhlmann, Daniel",02/03/2012,"834",,./0.png
17.41,-14.4,Cubango Luahuca Menongue,gauging station (river),,,working,,,Cubango,"17.41","-14.4",WGS 84 (lat/long),"1350","1000",,Angola,,,,"Butchart-Kuhlmann, Daniel",02/03/2012,"836",,./0.png
17.37742,-14.7017,Missao Velha,gauging station (river),"637514",,out of order,,,Cubango,"17.37742","-14.7017",WGS 84 (lat/long),"1385","5814",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",05/04/2012,"844",,./0.png
16.54,-14.4,Cubango Cuchi Cuchi,gauging station (river),,,,,,,"16.54","-14.4",WGS 84 (lat/long),"1380","9205",,Angola,,,,"Butchart-Kuhlmann, Daniel",05/04/2012,"848",,./0.png
